NOMBRE DE LA UNIVERSIDAD,FECHA DE PUBLICACIÓN DE RESOLUCIÓN,RESOLUCIÓN DE LICENCIAMIENTO,TIPO DE GESTIÓN
Universidad Católica Los Ángeles de Chimbote,27-02-2021,Resolución / Más información,Privada
Universidad Nacional Ciro Alegría,13-01-2021,Resolución / Más información,Pública
Universidad Nacional Pedro Ruiz Gallo,20-08-2020,Resolución / Más información,Pública
Universidad Peruana del Centro,17-07-2020,Resolución / Más información,Privada
Universidad Científica del Perú,08-07-2020,Resolución / Más información,Privada
Universidad José Carlos Mariátegui,13-06-2020,Resolución / Más información,Privada
Universidad Andina Néstor Cáceres Velásquez,06-03-2020,Resolución / Más información,Privada
Universidad Autónoma San Francisco,28-02-2020,Resolución / Más información,Privada
Universidad Privada Antonio Guillermo Urrelo,26-02-2020,Resolución / Más información,Privada
Universidad Privada San Carlos,14-02-2020,Resolución / Más información,Privada
Universidad Seminario Evangélico de Lima,24-01-2020,Resolución / Más información,Privada
Universidad Latinoamericana CIMA,22-01-2020,Resolución / Más información,Privada
Universidad Politécnica Amazónica,22-01-2020,Resolución / Más información,Privada
Universidad Privada de Trujillo,17-01-2020,Resolución / Más información,Privada
Universidad Privada Líder Peruana,16-01-2020,Resolución / Más información,Privada
Universidad Peruana Las Américas,03-01-2020,Resolución / Más información,Privada
Universidad Santo Domingo de Guzmán,30-12-2019,Resolución / Más información,Privada
Universidad Alas Peruanas,26-12-2019,Resolución / Más información,Privada
Universidad Privada Leonardo Da Vinci,13-12-2019,Resolución / Más información,Privada
Universidad Interamericana para el Desarrollo,12-12-2019,Resolución / Más información,Privada
Universidad Peruana de Ciencias e Informática,12-12-2019,Resolución / Más información,Privada
Universidad Peruana Santo Tomás de Aquino de Ciencia e Integración,06-12-2019,Resolución / Más información,Privada
Universidad San Pedro,05-12-2019,Resolución / Más información,Privada
Universidad Seminario Bíblico Andino,29-11-2019,Resolución / Más información,Privada
Escuela Internacional de Posgrado S.A.C.,22-11-2019,Resolución / Más información,Privada
Universidad Privada Juan Mejía Baca,14-11-2019,Resolución / Más información,Privada
Universidad Privada Autónoma del Sur,14-11-2019,Resolución / Más información,Privada
Universidad Peruana Austral del Cusco,08-11-2019,Resolución / Más información,Privada
Escuela de Postgrado San Francisco Xavier,08-11-2019,Resolución / Más información,Privada
Universidad Nacional San Luis Gonzaga de Ica,29-10-2019,Resolución / Más información,Pública
Universidad Ciencias de la Salud,17-10-2019,Resolución / Más información,Privada
Universidad Privada SISE,15-10-2019,Resolución / Más información,Privada
Universidad Inca Garcilaso de la Vega,10-10-2019,Resolución / Más información,Privada
Universidad Peruana de Oriente,03-10-2019,Resolución / Más información,Privada
Universidad Global del Cusco,24-09-2019,Resolución / Más información,Privada
Universidad Privada Juan Pablo II,20-09-2019,Resolución / Más información,Privada
Universidad Privada de la Selva Peruana,20-09-2019,Resolución / Más información,Privada
Universidad de Ayacucho Federico Froebel,13-09-2019,Resolución / Más información,Privada
Universidad Privada de Ica,05-09-2019,Resolución / Más información,Privada
Universidad Privada de Pucallpa,09-08-2019,Resolución / Más información,Privada
Universidad Particular de Chiclayo,25-07-2019,Resolución / Más información,Privada
Universidad San Andrés,04-07-2019,Resolución / Más información,Privada
Universidad Privada Arzobispo Loayza,13-06-2019,Resolución / Más información,Privada
Universidad Privada Telesup,30-05-2019,Resolución / Más información,Privada
Universidad Privada Sergio Bernales,05-04-2019,Resolución / Más información,Privada
Universidad Peruana Simón Bolívar,22-02-2019,Resolución / Más información,Privada
Universidad Marítima del Perú,18-01-2019,Resolución / Más información,Privada
Universidad de Lambayeque,21-12-2018,Resolución / Más información,Privada
Universidad Peruana de Investigación y Negocios,29-11-2018,Resolución / Más información,Privada
Universidad Peruana de Integración Global S.A.C.,30-10-2018,Resolución / Más información,Privada
Universidad Peruana de Arte Orval S.A.C.,18-10-2018,Resolución / Más información,Privada
