NOMBRE DE LA UNIVERSIDAD,FECHA DE LICENCIAMIENTO,RESOLUCIÓN DE LICENCIAMIENTO,DEPARTAMENTO/PROVINCIA,TIPO DE GESTIÓN
Universidad Autónoma de Ica,13-06-2020,Resolución / Más información,Ica/Chincha,Privada
Facultad de Teología Pontificia y Civil de Lima,14-03-2020,Resolución / Más información,Lima/Lima,Privada
Universidad Nacional Federico Villarreal,11-03-2020,Resolución / Más información,Lima/Lima,Pública
Universidad Tecnológica de los Andes,29-02-2020,Resolución / Más información,Apurímac/Abancay,Privada
Universidad Peruana Los Andes,18-02-2020,Resolución / Más información,Junín/Huancayo,Privada
Universidad Nacional Micaela Bastidas de Apurímac,05-02-2020,Resolución / Más información,Apurímac/Abancay,Pública
Universidad Nacional José Faustino Sánchez Carrión,28-01-2020,Resolución / Más información,Lima/Huaura,Pública
Universidad Señor de Sipán,03-01-2020,Resolución / Más información,Lambayeque/Chiclayo,Privada
Universidad Nacional del Callao,24-12-2019,Resolución / Más información,Callao/Prov. Const. del Callao,Pública
Universidad Nacional de Educación Enrique Guzmán y Valle,13-12-2019,Resolución / Más información,Lima/Lima,Pública
Universidad Privada Norbert Wiener,11-12-2019,Resolución / Más información,Lima/Lima,Privada
Universidad Nacional de Tumbes,03-12-2019,Resolución / Más información,Tumbes/Tumbes,Pública
Universidad Privada San Juan Bautista,08-11-2019,Resolución / Más información,Lima/Lima,Privada
Universidad Nacional Amazónica de Madre de Dios,12-10-2019,Resolución / Más información,Madre de Dios/Tambopata,Pública
Universidad Nacional Agraria de la Selva,29-08-2019,Resolución / Más información,Huánuco/Leoncio Prado,Pública
Universidad Nacional Daniel Alcides Carrión,22-08-2019,Resolución / Más información,Pasco/Pasco,Pública
Universidad Privada Peruano Alemana,06-08-2019,Resolución / Más información,Lima/Lima,Privada
Universidad Nacional Hermilio Valdizán,26-07-2019,Resolución / Más información,Huánuco/Huánuco,Pública
Universidad Nacional de Huancavelica,03-07-2019,Resolución / Más información,Huancavelica/Huancavelica,Pública
Universidad Nacional Intercultural de Quillabamba,02-07-2019,Resolución / Más información,Cusco/La Convención,Pública
Universidad Tecnológica del Perú,13-06-2019,Resolución / Más información,Lima/Lima,Privada
Universidad Privada de Huancayo Franklin Roosevelt,12-06-2019,Resolución / Más información,Junín/Huancayo,Privada
Universidad César Vallejo,12-06-2019,Resolución / Más información,La Libertad/Trujillo,Privada
Universidad de Huánuco,06-06-2019,Resolución / Más información,Huánuco/Huánuco,Privada
Universidad Nacional de Piura,06-05-2019,Resolución / Más información,Piura/Piura,Pública
Universidad Nacional de San Antonio Abad del Cusco,04-05-2019,Resolución / Más información,Cusco/Cusco,Pública
Universidad Nacional de San Martín,01-05-2019,Resolución / Más información,San Martín/San Martín,Pública
Universidad Nacional de Frontera,06-04-2019,Resolución / Más información,Piura/Sullana,Pública
Universidad Nacional del Santa,12-03-2019,Resolución / Más información,Áncash/Santa,Pública
Universidad Nacional del Centro del Perú,01-03-2019,Resolución / Más información,Junín/Huancayo,Pública
Universidad Católica de Trujillo Benedicto XVI,21-02-2019,Resolución / Más información,La Libertad/Trujillo,Privada
Universidad Nacional Autónoma de Tayacaja “Daniel Hernández Morillo”,15-02-2019,Resolución / Más información,Huancavelica/Tayacaja,Pública
Universidad Nacional de la Amazonía Peruana,01-02-2019,Resolución / Más información,Loreto/Maynas,Pública
Universidad Nacional Santiago Antúnez de Mayolo,01-01-2019,Resolución / Más información,Áncash/Huaraz,Pública
Escuela de Postgrado Neumann Business School S.A.C.,15-12-2018,Resolución / Más información,Tacna/Tacna,Privada
